Joint1,Joint2,Joint3,Joint4,X,Y,Z,R
-89.9,0,0,-26.3737,0.3608,-206.6997,135,-116.2737
-89.8,0,0,-26.3737,0.7215,-206.6987,135,-116.1737
-89.7,0,0,-26.3737,1.0823,-206.6972,135,-116.0737
-89.6,0,0,-26.3737,1.443,-206.695,135,-115.9737
-89.5,0,0,-26.3737,1.8038,-206.6921,135,-115.8737
-89.4,0,0,-26.3737,2.1645,-206.6887,135,-115.7737
-89.3,0,0,-26.3737,2.5252,-206.6846,135,-115.6737
-89.2,0,0,-26.3737,2.886,-206.6799,135,-115.5737
-89.1,0,0,-26.3737,3.2467,-206.6745,135,-115.4737
-89,0,0,-26.3737,3.6074,-206.6685,135,-115.3737
-88.9,0,0,-26.3737,3.9681,-206.6619,135,-115.2737
-88.8,0,0,-26.3737,4.3288,-206.6547,135,-115.1737
-88.7,0,0,-26.3737,4.6895,-206.6468,135,-115.0737
-88.6,0,0,-26.3737,5.0501,-206.6383,135,-114.9737
-88.5,0,0,-26.3737,5.4108,-206.6292,135,-114.8737
-88.4,0,0,-26.3737,5.7714,-206.6194,135,-114.7737
-88.3,0,0,-26.3737,6.132,-206.609,135,-114.6737
-88.2,0,0,-26.3737,6.4926,-206.598,135,-114.5737
-88.1,0,0,-26.3737,6.8532,-206.5863,135,-114.4737
-88,0,0,-26.3737,7.2137,-206.5741,135,-114.3737
-87.9,0,0,-26.3737,7.5742,-206.5612,135,-114.2737
-87.8,0,0,-26.3737,7.9347,-206.5476,135,-114.1737
-87.7,0,0,-26.3737,8.2952,-206.5335,135,-114.0737
-87.6,0,0,-26.3737,8.6557,-206.5187,135,-113.9737
-87.5,0,0,-26.3737,9.0161,-206.5033,135,-113.8737
-87.4,0,0,-26.3737,9.3765,-206.4872,135,-113.7737
-87.3,0,0,-26.3737,9.7369,-206.4705,135,-113.6737
-87.2,0,0,-26.3737,10.0972,-206.4532,135,-113.5737
-87.1,0,0,-26.3737,10.4575,-206.4353,135,-113.4737
-87,0,0,-26.3737,10.8178,-206.4167,135,-113.3737
-86.9,0,0,-26.3737,11.1781,-206.3975,135,-113.2737
-86.8,0,0,-26.3737,11.5383,-206.3777,135,-113.1737
-86.7,0,0,-26.3737,11.8985,-206.3573,135,-113.0737
-86.6,0,0,-26.3737,12.2586,-206.3362,135,-112.9737
-86.5,0,0,-26.3737,12.6187,-206.3145,135,-112.8737
-86.4,0,0,-26.3737,12.9788,-206.2921,135,-112.7737
-86.3,0,0,-26.3737,13.3388,-206.2691,135,-112.6737
